"setInfo.set.setId","setInfo.set.name","setInfo.experiment.randomizationStrategyCode","setInfo.experiment.name","setInfo.experiment.id","setInfo.overallDeactivationStatus","answer.deactivationDateTime","answer.deactivationReason","answer.deactivationUser","answer.secondaryAnswer1","answer.secondaryAnswer2","answer.secondaryAnswer3","answer.secondaryAnswer4","answer.entityTypeCode","answer.localizedValue","answer.isDeactivated","answer.answerMethod","answer.answerUserId","answer.answeredTime","answer.businessUnit","answer.questionCode","answer.instanceSeq","answer.repetition","answer.attribute","answer.secondary","answer.valueType","answer.answerId","answer.entityId","answer.uomCode","answer.locale","answer.value","_rowNumber","setInfo.set.entry.unit.deactivationReasonInfo.value","setInfo.set.entry.unit.treatment.treatmentNumber","setInfo.set.entry.unit.treatment.id","setInfo.set.entry.unit.rep","setInfo.set.entry.entryId"
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-29 00:00:00.000",false,"User Collected","GLKVD","2022-03-28T15:55:23Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,TP9501E,Soybeans,5.0","DATE","086c48bb-5b21-4ae4-855e-0c3a18468bcf","84838","DATE","US","2022-03-29",67,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-29 00:00:00.000",false,"User Collected","GLKVD","2022-03-28T15:49:10Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,TP9501E,Soybeans,5.0","DATE","9fb7a970-2347-450f-80c5-2baef42cfd0f","84838","DATE","US","2022-03-29",68,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-29 00:00:00.000",false,"User Collected","GLKVD","2022-03-28T15:47:07Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,TP9501E,Soybeans,5.0","DATE","434ce5a6-4a9a-4f0f-add1-3020f0b99390","84838","DATE","US","2022-03-29",69,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-28 00:00:00.000",false,"User Collected","GLKVD","2022-03-28T10:33:29Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,TP9501E,Soybeans,5.0","DATE","3de55b39-b491-4d9f-a365-b8609bfcc6ed","84838","DATE","US","2022-03-28",70,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-29 00:00:00.000",false,"User Collected","GLKVD","2022-03-28T10:33:29Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,TP9501E,Soybeans,5.0","DATE","62c1c69b-13fa-4dd4-b406-ba361d9272b3","84838","DATE","US","2022-03-29",71,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-28 00:00:00.000",false,"User Collected","GLKVD","2022-03-28T10:33:29Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,TP9501E,Soybeans,5.0","DATE","17563364-2872-49eb-a74b-68fa495f8350","84838","DATE","US","2022-03-28",72,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-28 00:00:00.000",false,"User Collected","GLKVD","2022-03-28T10:12:34Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,TP9501E,Soybeans,5.0","DATE","b918b8eb-2b60-4682-8463-1a7296e51907","84838","DATE","US","2022-03-28",73,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-23 00:00:00.000",false,"User Collected","YSHAR","2022-03-23T12:16:14Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Rope Wick,TP9501E,Soybeans,7.0","DATE","a92f389b-0a4c-4bf7-8ff3-9493df3c679c","84838","DATE","US","2022-03-23",75,,,,,
86731,"Peptide - ASR Velocity Test - 2022","rcb","Feb. 2022 Testing",13344,false,,,,"ANSM: User Collected","APLPRE: 5.0","APP_EQUIP: Hand-Held Boom","NOZT: TP9501E","SET","2022-03-23 00:00:00.000",false,"User Collected","YSHAR","2022-03-23T12:03:02Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,5.0,Hand-Held Boom,TP9501E,Soybeans,7.0","DATE","eaf520c8-d864-44da-9bf7-205b3986030e","86731","DATE","US","2022-03-23",76,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 4.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-23 00:00:00.000",false,"User Collected","YSHAR","2022-03-23T10:26:38Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,4.0,Rope Wick,TP9501E,Soybeans,5.0","DATE","f160d941-7b61-4d74-a11f-c084edb13263","84838","DATE","US","2022-03-23",82,,,,,
84838,"2021_GMPXW_ASR_Topical_SetsTemplate L01","rcb","2021_GMPXW_ASR_Topical_SetsTemplate",12951,false,,,,"ANSM: User Collected","APLPRE: 6.0","APP_EQUIP: Rope Wick","NOZT: TP9501E","SET","2022-03-22 00:00:00.000",false,"User Collected","YSHAR","2022-03-22T09:48:19Z","Plant Biotechnology","APP_DATE","C6098-I2",,"Primary Business","User Collected,6.0,Rope Wick,TP9501E,Soybeans,2.0","DATE","5c76ddef-fb23-4453-b8b0-d551e4da9659","84838","DATE","US","2022-03-22",83,,,,,
